,Profile,Company,Location,Start Date,Duration,Stipend,Apply By
52,Marketing,BYJU'S The Learning App,"Ahmedabad, Surat, Vadodara",Immediately,2 Months,20000/month,1 Aug' 20
53,Business Development (Sales),Urban Company,Work From Home,Immediately,3 Months,8000/month,1 Aug' 20
54,Content Operation,Xiaomi Technology India Private Limited,Bangalore,Immediately,6 Months,15000/month,1 Aug' 20
55,Marketing,IIFL Securities Limited,Work From Home,Immediately,2 Months,2000/month,1 Aug' 20
56,Marketing,BYJU'S - The Learning App,"Chandigarh, Patiala, Mohali, Panchkula",Immediately,2 Months,20000/month,1 Aug' 20
57,Teaching,Teach For India,Work From Home,Immediately,2 Months,Unpaid,1 Aug' 20
58,Teaching Instructor/Subject Matter Expert (Full Stack Program),UpGrad,"Delhi, Pune, Saharanpur, Noida",Immediately,6 Months,25000-30000/month,31 Jul' 20
59,Marketing,BYJU'S - The Learning App,"Jodhpur, Jaipur",Immediately,3 Months,20000/month,31 Jul' 20
60,UI/UX Design,IIT Bombay,Mumbai,Immediately,6 Months,3000-5000/month,30 Jul' 20
61,Computer Vision,"NCFlexe, IIT Kanpur",Work From Home,Immediately,3 Months,5000/month,30 Jul' 20
62,Marketing,BYJU'S The Learning App,"Jabalpur, Indore, Ujjain, Bhopal, Raipur, Gwalior",Immediately,2 Months,20000/month,29 Jul' 20
63,Marketing,CRY - Child Rights and You,Work From Home,Immediately,1 Month,Unpaid,29 Jul' 20
64,Delegate Sales,Times Internet Limited,Mumbai,Immediately,6 Months,7000/month,28 Jul' 20
65,Chartered Accountancy (CA),Amazon,Delhi,Immediately,6 Months,35000/month,28 Jul' 20
66,Web Development,"NCFlexe, IIT Kanpur",Work From Home,Immediately,3 Months,5000/month,28 Jul' 20
67,Research (Centre For Waste Management),The Energy And Resources Institute,Aligarh,Immediately,2 Months,2000/month,28 Jul' 20
68,Business Development (Sales),Career Launcher,Work From Home,Immediately,2 Months,3000/month+Incentives,27 Jul' 20
69,Business Development (Sales),UrbanClap Technologies India Private Limited,Bhubaneswar,Immediately,2 Months,8000-10000/month,27 Jul' 20
